STATE,DISTRICT,CROP,YEAR,PRODUCTION_TONNES,AREA,SOURCE_URL
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,2108.0,160.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2001,2001,5239.0,3100.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2001,2001,199.0,418.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2001,2001,27033.0,9718.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2001,2001,33.0,81.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2001,2001,25250000.0,7015.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2001,2001,1124.0,344.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2001,2001,2379.0,81.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2001,2001,5.0,100.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,18995.62,6854.3,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,3011.7,1160.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,8582.0,957.57,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,191.14,175.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,44.0,40.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,15400000.0,3575.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,824.3,235.72,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,929.0,98.66,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,21.4,35.62,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,1500.0,71.3,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,240.0,30.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,1420.0,255.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
